| query_name           | table_schema | table_name            | column_name                   | data_type                |
| -------------------- | ------------ | --------------------- | ----------------------------- | ------------------------ |
| public_table_columns | public       | admin_roles           | granted_at                    | timestamp with time zone |
| public_table_columns | public       | admin_roles           | granted_by                    | uuid                     |
| public_table_columns | public       | admin_roles           | id                            | uuid                     |
| public_table_columns | public       | admin_roles           | is_active                     | boolean                  |
| public_table_columns | public       | admin_roles           | profile_id                    | uuid                     |
| public_table_columns | public       | admin_roles           | role_type                     | text                     |
| public_table_columns | public       | agent_performance     | agent_id                      | uuid                     |
| public_table_columns | public       | agent_performance     | avg_duration                  | numeric                  |
| public_table_columns | public       | agent_performance     | calls_handled                 | integer                  |
| public_table_columns | public       | agent_performance     | created_at                    | timestamp with time zone |
| public_table_columns | public       | agent_performance     | date                          | date                     |
| public_table_columns | public       | agent_performance     | id                            | uuid                     |
| public_table_columns | public       | agent_performance     | profile_id                    | uuid                     |
| public_table_columns | public       | agent_performance     | success_rate                  | numeric                  |
| public_table_columns | public       | agent_zaps            | agent_id                      | uuid                     |
| public_table_columns | public       | agent_zaps            | created_at                    | timestamp with time zone |
| public_table_columns | public       | agent_zaps            | description                   | text                     |
| public_table_columns | public       | agent_zaps            | id                            | uuid                     |
| public_table_columns | public       | agent_zaps            | name                          | text                     |
| public_table_columns | public       | agent_zaps            | parameter_schema              | jsonb                    |
| public_table_columns | public       | agent_zaps            | updated_at                    | timestamp with time zone |
| public_table_columns | public       | agent_zaps            | webhook_url                   | text                     |
| public_table_columns | public       | ai_agents             | agent_type                    | USER-DEFINED             |
| public_table_columns | public       | ai_agents             | business_days                 | ARRAY                    |
| public_table_columns | public       | ai_agents             | business_hours_end            | time without time zone   |
| public_table_columns | public       | ai_agents             | business_hours_start          | time without time zone   |
| public_table_columns | public       | ai_agents             | call_direction                | USER-DEFINED             |
| public_table_columns | public       | ai_agents             | created_at                    | timestamp with time zone |
| public_table_columns | public       | ai_agents             | description                   | text                     |
| public_table_columns | public       | ai_agents             | escalation_email              | text                     |
